character_from_quotes,matched_name_in_characters,wiki_url
Frodo Baggins,Frodo Baggins,http://lotr.wikia.com//wiki/Frodo_Baggins
Samwise Gamgee,Samwise Gamgee,http://lotr.wikia.com//wiki/Samwise_Gamgee
Gandalf,Gandalf,http://lotr.wikia.com//wiki/Gandalf
Aragorn II Elessar,Aragorn II Elessar,http://lotr.wikia.com//wiki/Aragorn_II_Elessar
Gollum,Gollum,http://lotr.wikia.com//wiki/Gollum
Peregrin Took,Peregrin Took,http://lotr.wikia.com//wiki/Peregrin_Took
Meriadoc Brandybuck,Meriadoc Brandybuck,http://lotr.wikia.com//wiki/Meriadoc_Brandybuck
Mouth of Sauron,Mouth of Sauron,https://lotr.fandom.com/wiki/Mouth_of_Sauron
Gimli,Gimli,http://lotr.wikia.com//wiki/Gimli
Théoden,Théoden,http://lotr.wikia.com//wiki/Th%C3%A9oden
Faramir,Faramir,http://lotr.wikia.com//wiki/Faramir
Legolas,Legolas,http://lotr.wikia.com//wiki/Legolas
Bilbo Baggins,Bilbo Baggins,http://lotr.wikia.com//wiki/Bilbo_Baggins
Éowyn,Éowyn,http://lotr.wikia.com//wiki/%C3%89owyn
Treebeard,Treebeard,https://lotr.fandom.com/wiki/Treebeard
Denethor II,Denethor II,http://lotr.wikia.com//wiki/Denethor_II
Saruman,Saruman,http://lotr.wikia.com//wiki/Saruman
Boromir,Boromir,http://lotr.wikia.com//wiki/Boromir
Arwen,Arwen,http://lotr.wikia.com//wiki/Arwen
Éomer,Éomer,http://lotr.wikia.com//wiki/%C3%89omer
Elrond,Elrond,http://lotr.wikia.com//wiki/Elrond
Gríma Wormtongue,Gríma Wormtongue,http://lotr.wikia.com//wiki/Gr%C3%ADma_Wormtongue
Galadriel,Galadriel,http://lotr.wikia.com//wiki/Galadriel
Gamling,Gamling,http://lotr.wikia.com//wiki/Gamling
Gothmog (Lieutenant of Morgul),Gothmog (Lieutenant of Morgul),https://lotr.fandom.com/wiki/Gothmog_(Lieutenant_of_Morgul)
Uglúk,Uglúk,https://lotr.fandom.com/wiki/Uglúk
Shagrat,Shagrat,https://lotr.fandom.com/wiki/Shagrat
Witch-King of Angmar,Witch-King of Angmar,https://lotr.fandom.com/wiki/Witch-king_of_Angmar
The King of the Dead,The King of the Dead,http://lotr.wikia.com//wiki/The_King_of_the_Dead
Madril,Madril,https://lotr.fandom.com/wiki/Madril
Haldir (Haladin),Haldir (Haladin),http://lotr.wikia.com//wiki/Haldir_(Haladin)
Háma,Háma,http://lotr.wikia.com//wiki/H%C3%A1ma
Thranduil,Thranduil,https://lotr.fandom.com/wiki/Thranduil
Morwen,Morwen,http://lotr.wikia.com//wiki/Morwen
Grishnákh,Grishnákh,https://lotr.fandom.com/wiki/Grishnákh
Sauron,Sauron,http://lotr.wikia.com//wiki/Sauron
Barliman Butterbur,Barliman Butterbur,https://lotr.fandom.com/wiki/Barliman_Butterbur
Déagol,Déagol,http://lotr.wikia.com//wiki/D%C3%A9agol
Irolas,Iorlas,http://lotr.wikia.com//wiki/Iorlas
Freda,Fréa,http://lotr.wikia.com//wiki/Fr%C3%A9a
Gorbag,Gorbag,https://lotr.fandom.com/wiki/Gorbag
Rosie Cotton,Rosie Cotton,http://lotr.wikia.com//wiki/Rosie_Cotton
Damrod,Damrod,http://lotr.wikia.com//wiki/Damrod
Radagast,Radagast,https://lotr.fandom.com/wiki/Radagast
Ted Sandyman,Ted Sandyman,http://lotr.wikia.com//wiki/Ted_Sandyman
Grimbold,Grimbold,http://lotr.wikia.com//wiki/Grimbold
Sharku,Sharku,https://lotr.fandom.com/wiki/Sharku
Éothain,Éothain,http://lotr.wikia.com//wiki/%C3%89othain
Farmer Maggot,Farmer Maggot,http://lotr.wikia.com//wiki/Farmer_Maggot
Old Noakes,Old Noakes,http://lotr.wikia.com//wiki/Old_Noakes
Figwit,Figwit,https://lotr.fandom.com/wiki/Figwit
Primrose Bracegirdle,Primrose Bracegirdle,http://lotr.wikia.com//wiki/Primrose_Bracegirdle
